"frame","idx","hdim_1","hdim_2","num","threshold_value","feature","time","timestr","latitude","longitude","cell","time_cell"
0,11,511.840759408912,414.198116051012,371263,240,11,0,"2021-06-20 18:03:44",48.4115207869539,8.94465478876751,NA,NA
1,7,518.780993487897,416.483243459132,373802,240,89,384,"2021-06-20 18:10:08",48.4556173483175,8.9664718947533,NA,NA
2,10,526.809092076774,418.838149897421,376082,240,164,640,"2021-06-20 18:14:24",48.5065785222003,8.98895522939976,NA,NA
3,8,534.614837270458,421.687296325653,383114,240,238,896,"2021-06-20 18:18:40",48.5560793287029,9.01615669585811,NA,NA
4,7,541.909700185989,423.867458376609,384903,240,312,1280,"2021-06-20 18:25:04",48.6022953121519,9.03697216587852,NA,NA
5,9,548.287864270088,425.665476703546,387901,240,388,1536,"2021-06-20 18:29:20",48.6426680252994,9.05413826682968,NA,NA
6,9,556.375331937242,508.457221326033,461114,240,463,1792,"2021-06-20 18:33:36",48.6938130379486,9.84458565015308,NA,NA
7,5,562.208657853132,512.468249976026,466531,240,523,2176,"2021-06-20 18:40:00",48.7306729789916,9.88288083125114,NA,NA
8,5,568.511734177881,516.594636612008,473938,240,578,2432,"2021-06-20 18:44:16",48.7704693605972,9.92227736198693,NA,NA
9,6,573.120527446135,522.725406893253,475005,240,639,2816,"2021-06-20 18:50:40",48.7995499872912,9.98081021157108,NA,NA
10,7,577.782468679319,527.598567926359,479220,240,708,3072,"2021-06-20 18:54:56",48.8289467648579,10.0273363719089,NA,NA
11,8,581.29093490055,543.47946499512,485833,240,777,3328,"2021-06-20 18:59:12",48.8510575273732,10.1789578667318,NA,NA
12,7,587.028739801622,548.442550043603,489044,240,847,3712,"2021-06-20 19:05:36",48.8871973015307,10.226342552649,NA,NA
13,6,593.056158700808,551.752959947085,489717,240,915,3968,"2021-06-20 19:09:52",48.925135062018,10.2579478092482,NA,NA
14,7,599.422550679272,555.606369471423,491927,240,980,4224,"2021-06-20 19:14:08",48.9651732006815,10.2947381637367,NA,NA
15,8,605.477535844781,559.953291140028,492746,240,1043,4608,"2021-06-20 19:20:32",49.0032253323988,10.3362401939419,NA,NA
16,8,613.171412434146,560.959669323197,489948,240,1102,4864,"2021-06-20 19:24:48",49.051532644097,10.345848321528,NA,NA
17,9,635.664211962985,433.195011765,376027,240,1168,5120,"2021-06-20 19:29:04",49.1924895165682,9.12602640417043,NA,NA
18,20,672.326404560073,446.189763515419,326032,240,1234,5504,"2021-06-20 19:35:28",49.4213753457893,9.25009224181448,NA,NA
19,21,675.72683244252,450.040709024219,320458,240,1299,5760,"2021-06-20 19:39:44",49.4425513860557,9.2868590717711,NA,NA
20,29,679.806488996207,451.898837086955,313584,240,1377,6016,"2021-06-20 19:44:00",49.4679427473176,9.30459905441046,NA,NA
21,26,683.281662890559,454.599144349586,311773,240,1445,6400,"2021-06-20 19:50:24",49.4895644843083,9.33038047226306,NA,NA
22,34,685.540943841439,458.911524328128,306509,240,1522,6656,"2021-06-20 19:54:40",49.5036153353178,9.37155264050791,NA,NA
23,29,689.804096478555,462.003089885573,305918,240,1592,6912,"2021-06-20 19:58:56",49.5301165510695,9.40106862339446,NA,NA
24,26,693.695671477008,465.926715027033,299171,240,1653,7296,"2021-06-20 20:05:20",49.5542955354158,9.43852934278071,NA,NA
25,27,691.501111421311,478.027685974238,251166,240,1712,7552,"2021-06-20 20:09:36",49.5406620426381,9.55406204632578,NA,NA
26,14,651.925611464248,642.635614640966,362423,240,1767,7808,"2021-06-20 20:13:52",49.2941445387534,11.1256429082591,NA,NA
27,14,655.888053969876,643.710388954338,358125,240,1828,8192,"2021-06-20 20:20:16",49.3188814403332,11.1359040296763,NA,NA
