cellID,occ
1,10.0
2,10.0
3,55.0
5,5.0
6,55.0
7,5.0
9,75.0
10,5.0
12,15.0
13,15.0
14,25.0
15,40.0
17,5.0
18,75.0
19,30.0
20,10.0
21,5.0
22,10.0
23,15.0
29,5.0
30,10.0
31,5.0
32,125.0
33,10.0
34,25.0
35,5.0
36,10.0
38,10.0
39,5.0
40,20.0
41,10.0
42,20.0
44,5.0
46,215.0
47,30.0
48,45.0
49,35.0
50,5.0
53,65.0
54,95.0
55,25.0
56,65.0
57,30.0
58,30.0
61,20.0
62,5.0
63,110.0
64,25.0
66,10.0
67,15.0
68,10.0
69,5.0
70,5.0
71,55.0
72,90.0
73,5.0
74,5.0
76,25.0
77,25.0
78,5.0
80,5.0
82,5.0
83,5.0
87,25.0
88,5.0
89,5.0
91,10.0
92,15.0
93,30.0
95,5.0
96,100.0
98,110.0
100,5.0
102,60.0
103,25.0
105,15.0
106,60.0
107,105.0
108,50.0
109,30.0
110,20.0
111,45.0
112,55.0
114,20.0
115,5.0
116,10.0
117,65.0
119,60.0
120,20.0
121,5.0
123,10.0
124,15.0
127,30.0
128,10.0
131,5.0
133,5.0
137,5.0
139,5.0
140,15.0
142,5.0
143,5.0
144,5.0
146,5.0
148,5.0
149,55.0
150,15.0
151,5.0
152,15.0
156,20.0
157,20.0
158,95.0
161,5.0
162,10.0
163,5.0
164,5.0
165,15.0
167,235.0
168,5.0
171,10.0
172,15.0
173,5.0
174,5.0
175,15.0
176,45.0
177,5.0
178,10.0
179,5.0
180,35.0
181,90.0
186,20.0
188,5.0
189,10.0
190,10.0
191,35.0
195,5.0
196,5.0
197,5.0
198,10.0
199,45.0
202,5.0
206,10.0
208,30.0
210,20.0
212,5.0
213,10.0
214,40.0
215,5.0
219,10.0
220,70.0
223,5.0
224,10.0
225,10.0
226,10.0
227,5.0
228,5.0
231,10.0
232,10.0
234,10.0
235,15.0
236,5.0
237,5.0
239,10.0
240,15.0
243,5.0
244,10.0
246,5.0
247,5.0
249,25.0
250,35.0
251,25.0
252,70.0
253,5.0
257,5.0
259,20.0
260,5.0
264,10.0
267,10.0
269,5.0
271,5.0
272,15.0
273,100.0
274,5.0
275,10.0
276,35.0
277,10.0
278,10.0
282,40.0
285,30.0
286,25.0
287,20.0
288,15.0
291,5.0
292,5.0
293,5.0
297,5.0
300,15.0
302,50.0
303,30.0
304,5.0
305,70.0
310,15.0
311,30.0
313,10.0
314,5.0
317,5.0
318,10.0
319,5.0
322,130.0
324,70.0
325,10.0
326,10.0
327,10.0
329,10.0
330,25.0
331,25.0
334,40.0
337,5.0
338,5.0
339,15.0
340,15.0
344,5.0
348,20.0
349,45.0
350,25.0
352,30.0
353,5.0
358,20.0
361,20.0
363,15.0
365,25.0
369,20.0
371,5.0
372,100.0
373,15.0
375,25.0
376,5.0
380,30.0
383,20.0
385,15.0
386,5.0
387,30.0
388,5.0
389,10.0
391,15.0
392,20.0
394,70.0
396,20.0
397,5.0
398,5.0
399,10.0
400,35.0
402,20.0
404,10.0
405,5.0
407,5.0
408,5.0
410,30.0
411,30.0
412,5.0
415,25.0
416,5.0
420,25.0
421,5.0
424,40.0
425,15.0
426,5.0
427,15.0
429,10.0
430,45.0
431,15.0
433,40.0
436,15.0
437,5.0
439,5.0
440,5.0
442,5.0
445,5.0
450,5.0
451,30.0
455,5.0
457,15.0
458,5.0
459,50.0
460,5.0
461,5.0
465,25.0
468,5.0
469,5.0
470,25.0
472,25.0
476,20.0
479,20.0
483,60.0
484,15.0
485,10.0
486,15.0
487,5.0
488,5.0
490,5.0
492,10.0
493,15.0
495,15.0
496,50.0
501,35.0
503,10.0
504,5.0
506,55.0
507,40.0
508,15.0
509,5.0
510,5.0
513,5.0
515,110.0
516,5.0
517,5.0
519,10.0
521,10.0
522,20.0
523,45.0
527,35.0
528,5.0
529,105.0
531,25.0
534,5.0
538,15.0
540,5.0
543,20.0
544,60.0
545,30.0
548,65.0
550,5.0
551,25.0
552,50.0
556,5.0
557,5.0
559,85.0
561,10.0
563,45.0
564,10.0
565,5.0
567,50.0
569,35.0
572,40.0
573,10.0
574,5.0
578,20.0
580,5.0
581,40.0
583,5.0
586,15.0
589,5.0
590,5.0
591,15.0
593,40.0
594,10.0
595,65.0
596,15.0
597,5.0
598,5.0
601,15.0
606,15.0
608,75.0
612,60.0
613,40.0
615,85.0
616,10.0
620,10.0
622,5.0
623,25.0
625,20.0
626,80.0
628,10.0
630,5.0
632,80.0
633,5.0
638,10.0
639,75.0
640,10.0
646,5.0
648,10.0
651,5.0
653,90.0
654,35.0
655,10.0
656,5.0
657,35.0
658,5.0
660,15.0
661,15.0
662,5.0
665,5.0
669,10.0
670,10.0
671,15.0
673,85.0
675,5.0
677,5.0
678,10.0
679,50.0
681,5.0
686,45.0
688,5.0
694,15.0
697,45.0
700,75.0
703,10.0
704,20.0
705,15.0
706,10.0
710,5.0
711,30.0
713,5.0
714,10.0
715,25.0
716,30.0
717,5.0
718,20.0
719,10.0
721,55.0
723,50.0
724,15.0
725,110.0
726,75.0
727,5.0
728,5.0
729,25.0
730,10.0
731,5.0
732,20.0
733,40.0
735,95.0
737,10.0
743,10.0
749,10.0
751,60.0
753,70.0
754,5.0
755,5.0
756,5.0
758,20.0
759,25.0
762,5.0
767,5.0
769,25.0
774,25.0
776,30.0
777,10.0
778,5.0
779,10.0
785,75.0
786,10.0
791,25.0
792,10.0
799,35.0
800,5.0
801,5.0
806,5.0
809,15.0
810,5.0
811,5.0
812,25.0
813,10.0
814,15.0
815,10.0
816,25.0
817,10.0
827,10.0
829,135.0
834,15.0
835,10.0
837,95.0
838,20.0
843,5.0
845,5.0
846,20.0
847,5.0
850,5.0
851,50.0
852,25.0
855,75.0
856,130.0
860,5.0
862,10.0
864,20.0
865,105.0
866,65.0
867,30.0
869,5.0
871,10.0
873,50.0
874,10.0
876,15.0
877,15.0
878,15.0
881,10.0
883,5.0
884,5.0
887,5.0
889,5.0
890,5.0
891,5.0
893,60.0
894,50.0
895,75.0
896,15.0
897,5.0
899,5.0
901,15.0
903,15.0
905,10.0
907,5.0
909,5.0
912,45.0
917,5.0
920,20.0
921,210.0
923,5.0
924,35.0
926,25.0
930,5.0
931,10.0
934,45.0
937,10.0
941,70.0
942,15.0
947,5.0
948,5.0
949,5.0
950,20.0
952,5.0
953,5.0
955,35.0
956,20.0
958,5.0
959,5.0
965,5.0
967,20.0
968,5.0
970,55.0
973,5.0
975,15.0
978,10.0
981,5.0
983,5.0
984,5.0
985,30.0
989,20.0
992,20.0
993,10.0
995,5.0
997,15.0
999,10.0
1000,20.0
1003,10.0
1004,5.0
1005,15.0
1007,5.0
1008,5.0
1010,10.0
1012,90.0
1016,25.0
1017,5.0
1019,65.0
1022,10.0
1023,5.0
1024,10.0
1025,55.0
1027,15.0
1029,5.0
1030,15.0
1031,5.0
1033,35.0
1034,20.0
1035,15.0
1036,10.0
1037,10.0
1038,30.0
1039,25.0
1040,5.0
1041,10.0
1042,15.0
1045,5.0
1048,10.0
1049,5.0
1050,35.0
1052,15.0
1055,5.0
1056,15.0
1057,30.0
1059,15.0
1060,5.0
1061,10.0
1064,5.0
1065,5.0
1066,5.0
1067,5.0
1068,10.0
1071,10.0
1072,15.0
1073,5.0
1075,10.0
1077,60.0
1080,25.0
1081,20.0
1082,15.0
1084,40.0
1088,30.0
1089,20.0
1090,10.0
1091,10.0
1094,15.0
1096,5.0
1097,5.0
1098,40.0
1099,55.0
1100,25.0
1104,5.0
1105,5.0
1106,10.0
1108,10.0
1109,5.0
1111,70.0
1112,5.0
1113,55.0
1115,5.0
1116,10.0
1118,5.0
1121,55.0
1124,25.0
1125,5.0
1126,5.0
1129,15.0
1130,5.0
1132,55.0
1133,5.0
1136,10.0
1139,5.0
1140,10.0
1142,5.0
1146,25.0
1148,20.0
1149,5.0
1150,25.0
1151,20.0
1155,45.0
1161,10.0
1169,5.0
1174,5.0
1175,35.0
1178,30.0
1179,5.0
1180,5.0
1182,5.0
1183,5.0
1184,135.0
1187,5.0
1191,10.0
1192,5.0
1193,10.0
1195,10.0
1198,50.0
1199,5.0
1200,5.0
1204,5.0
1208,5.0
1210,10.0
1211,65.0
1215,145.0
1216,70.0
1218,10.0
1219,10.0
1222,45.0
1225,20.0
1226,10.0
1227,5.0
1229,10.0
1230,95.0
1231,5.0
1233,30.0
1238,5.0
1239,25.0
1240,10.0
1243,15.0
1244,25.0
1247,5.0
1248,110.0
1250,10.0
1251,10.0
1252,15.0
1253,15.0
1254,5.0
1255,15.0
1256,5.0
1257,45.0
1258,15.0
1260,35.0
1263,5.0
1264,10.0
1265,20.0
1266,105.0
1269,55.0
1270,10.0
1271,5.0
1272,10.0
1273,25.0
1274,10.0
1278,5.0
1279,40.0
1281,10.0
1284,5.0
1287,5.0
1289,5.0
1290,15.0
1292,15.0
1293,5.0
1294,5.0
1295,30.0
1296,5.0
1297,60.0
1298,25.0
1302,25.0
1303,10.0
1304,10.0
1305,5.0
1306,10.0
1307,5.0
1308,10.0
1310,20.0
1312,5.0
1314,5.0
1316,10.0
1317,5.0
1318,70.0
1319,60.0
1320,5.0
1321,5.0
1322,5.0
1323,50.0
1324,25.0
1326,10.0
1327,10.0
1331,10.0
1332,10.0
1333,25.0
1335,30.0
1337,20.0
1339,70.0
1340,5.0
1341,10.0
1342,10.0
1346,5.0
1348,35.0
1351,20.0
1352,5.0
1353,15.0
1354,15.0
1355,75.0
1356,5.0
1358,25.0
1362,20.0
1363,5.0
1367,25.0
1368,35.0
1369,55.0
1370,5.0
1371,20.0
1372,10.0
1373,15.0
1375,65.0
1376,10.0
1377,35.0
1379,5.0
1381,5.0
1382,5.0
1383,5.0
1385,15.0
1386,70.0
1387,20.0
1388,10.0
1389,35.0
1390,70.0
1392,30.0
1394,15.0
1395,5.0
1397,65.0
1398,5.0
1399,25.0
1401,20.0
1402,25.0
1403,55.0
1404,65.0
1405,10.0
1407,95.0
1408,10.0
1410,10.0
1411,20.0
1415,115.0
1416,30.0
1417,15.0
1419,25.0
1420,5.0
1421,50.0
1422,35.0
1424,15.0
1425,20.0
1427,85.0
1428,20.0
1429,95.0
1433,15.0
1434,5.0
1435,5.0
1436,110.0
1437,35.0
1441,40.0
1442,35.0
1443,25.0
1446,15.0
1447,65.0
1448,120.0
1451,5.0
1452,125.0
1453,15.0
1455,120.0
1457,5.0
1458,10.0
1460,5.0
1461,25.0
1464,25.0
1465,5.0
1466,10.0
1468,5.0
1469,20.0
1470,5.0
1471,10.0
1472,5.0
1475,55.0
1477,15.0
1478,40.0
1479,25.0
1480,5.0
1482,5.0
1486,5.0
1487,55.0
1489,25.0
1491,5.0
1493,5.0
1496,5.0
1497,20.0
1498,15.0
1499,10.0
1500,45.0
1501,10.0
1502,30.0
1503,10.0
1506,5.0
1507,5.0
1509,10.0
1512,40.0
1513,25.0
1514,10.0
1516,15.0
1517,5.0
1518,15.0
1521,10.0
1523,5.0
1524,50.0
1525,25.0
1526,20.0
1528,10.0
1534,5.0
1536,15.0
1538,60.0
1542,5.0
1543,50.0
1545,35.0
1550,15.0
1551,5.0
1552,15.0
1553,15.0
1554,5.0
1557,20.0
1559,60.0
1561,5.0
1563,20.0
1564,15.0
1566,15.0
1567,35.0
1570,25.0
1571,5.0
1574,15.0
1575,15.0
1576,90.0
1580,20.0
1581,5.0
1584,15.0
1585,30.0
1587,55.0
1591,10.0
1592,25.0
1593,5.0
1595,85.0
1596,15.0
1598,35.0
1600,25.0
1601,25.0
1603,25.0
1604,55.0
1605,25.0
1606,35.0
1608,10.0
1609,5.0
1612,5.0
1613,10.0
1614,5.0
1616,5.0
1617,20.0
1618,35.0
1620,45.0
1622,15.0
1625,5.0
1627,20.0
1628,5.0
1629,35.0
1631,5.0
1633,5.0
1634,5.0
1637,70.0
1638,40.0
1640,25.0
1642,5.0
1643,5.0
1644,15.0
1649,5.0
1650,5.0
1651,35.0
1652,20.0
1653,65.0
1654,5.0
1655,45.0
1657,10.0
1660,25.0
1662,5.0
1663,75.0
1665,5.0
1666,45.0
1667,20.0
1668,85.0
1670,5.0
1672,5.0
1673,10.0
1675,10.0
1676,5.0
1678,55.0
1679,5.0
1680,20.0
1682,90.0
1683,55.0
1685,35.0
1687,5.0
1691,30.0
1693,30.0
1695,5.0
1698,10.0
1699,10.0
1700,10.0
1701,5.0
1702,20.0
1703,10.0
1705,5.0
1706,10.0
1709,25.0
1711,40.0
1713,10.0
1717,25.0
1718,5.0
1719,45.0
1720,5.0
1721,50.0
1724,75.0
1727,15.0
1728,5.0
1729,15.0
1730,20.0
1731,5.0
1732,5.0
1733,10.0
1735,5.0
1736,10.0
1737,15.0
1738,10.0
1739,25.0
1740,60.0
1741,50.0
1743,5.0
1745,5.0
1746,65.0
1748,15.0
1749,5.0
1751,10.0
1753,5.0
1754,25.0
1757,5.0
1758,5.0
1759,20.0
1762,10.0
1763,5.0
1765,5.0
1767,10.0
1768,5.0
1769,15.0
1770,25.0
1772,25.0
1774,20.0
1775,5.0
1776,5.0
1781,20.0
1783,30.0
1784,45.0
1785,10.0
1787,5.0
1789,105.0
1792,10.0
1793,5.0
1794,15.0
1795,15.0
1797,35.0
1798,95.0
1799,55.0
1800,5.0
1801,5.0
1802,55.0
1803,10.0
1805,5.0
1808,220.0
1810,15.0
1811,5.0
1814,5.0
1815,5.0
1816,5.0
1817,15.0
1819,5.0
1820,25.0
1821,5.0
1822,5.0
1823,15.0
1824,15.0
1825,20.0
1826,15.0
1827,5.0
1830,15.0
1831,5.0
1832,10.0
1835,20.0
1836,5.0
1837,35.0
1842,20.0
1845,10.0
1848,95.0
1851,30.0
1852,65.0
1853,30.0
1857,25.0
1860,105.0
1862,70.0
1863,25.0
1865,5.0
1867,5.0
1868,5.0
1870,15.0
1871,25.0
