frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,latitude,longitude,cell,time_cell,flag
104,28,724.9994486532846,434.9997600620776,21,260,14235,31232,2021-06-04 09:44:32,5510661.835322042,510320.280985639,8,,
105,29,707.7885362762499,448.9262049648488,38,260,14366,31488,2021-06-04 09:48:48,5498837.316346183,519942.47184164356,8,0.0,4059.0
106,106,715.9607846823615,453.8844227217745,52,250,14561,31872,2021-06-04 09:55:12,5504481.4065290475,523335.9574037695,8,384.0,4059.0
107,181,716.1831474825608,453.8826406926321,39,230,14755,32128,2021-06-04 09:59:28,5504634.555309719,523334.07069625723,8,640.0,4059.0
108,173,724.6553063013756,453.068633294058,114,230,14880,32384,2021-06-04 10:03:44,5510463.089085668,522749.0084130197,8,896.0,4059.0
109,193,724.7363627203033,449.3448728921352,39,220,15013,32768,2021-06-04 10:10:08,5510508.682581454,520187.5347673175,8,1280.0,4059.0
110,204,724.8534229802356,454.12275455801336,165,220,15154,33024,2021-06-04 10:14:24,5510602.475151823,523473.52176718746,8,1536.0,4059.0
111,180,723.1786870670115,452.6778627083119,279,220,15275,33280,2021-06-04 10:18:40,5509446.1763162445,522484.44738897326,8,1792.0,4059.0
112,220,727.5764487176313,455.3545972145317,492,220,15424,33664,2021-06-04 10:25:04,5512478.765060626,524312.358907585,8,2176.0,4059.0
113,223,730.1220981873035,454.7981320849052,414,220,15570,33920,2021-06-04 10:29:20,5514227.177785869,523922.00672492606,8,2432.0,4059.0
114,222,729.2911717273355,457.8505507605616,767,220,15716,34176,2021-06-04 10:33:36,5513665.618294283,526022.7984170084,8,2688.0,4059.0
115,227,729.5735169584925,458.8594020550078,592,220,15865,34560,2021-06-04 10:40:00,5513863.1139744455,526715.3914881491,8,3072.0,4059.0
116,215,731.9507226173644,460.0646923762236,914,220,16002,34816,2021-06-04 10:44:16,5515501.1889086,527535.568272109,8,3328.0,4059.0
117,215,733.039333188155,462.32209014722906,1112,220,16142,35072,2021-06-04 10:48:32,5516257.700047696,529082.7675100047,8,3584.0,4059.0
118,224,734.8292140326581,464.7092072166687,911,220,16286,35456,2021-06-04 10:54:56,5517496.563848027,530715.979566125,8,3968.0,4059.0
119,225,735.320594738791,462.9405176585888,1213,220,16432,35712,2021-06-04 10:59:12,5517827.263844775,529499.1101207125,8,4224.0,4059.0
120,236,735.9293106094397,465.3273107648319,994,220,16581,36096,2021-06-04 11:05:36,5518254.450756955,531136.2102472367,8,4608.0,4059.0
121,237,738.468852732608,463.9522050696722,1257,220,16735,36352,2021-06-04 11:09:52,5519993.286853814,530181.9840391191,8,4864.0,4059.0
122,220,737.8520146014939,468.9445349879208,764,220,16875,36608,2021-06-04 11:14:08,5519590.010468248,533612.4542759203,8,5120.0,4059.0
123,237,739.0685297333968,463.525785005584,1105,220,17026,36992,2021-06-04 11:20:32,5520403.425556791,529886.8896614277,8,5504.0,4059.0
124,249,741.446597202954,471.1808852116383,362,220,17194,37248,2021-06-04 11:24:48,5522067.603371785,535131.9818079487,8,5760.0,4059.0
